1;0;"	def type TArray8x8 as array[1 .. 8] of array[1 .. 8] of integer;"
2;0;"	def type TPoint2D as record"
3;0;"	       x as integer;"
4;0;"	       y as integer;"
5;0;"	     end;"
6;0;"	def type TPiece as record"
7;0;"	                     figtype as integer;"
8;0;"	                     note as integer;"
9;0;"	                     pos as TPoint2D;"
10;0;"	                     attacked_cells as integer;   {kolko policok ohrozuje}"
11;0;"	                     attacked_weight as float;  {sila nepriatelskych figur, ktore ohrozuje}"
12;0;"	                   end;"
13;0;"	"
14;0;"	def type Position as record"
15;0;"	                       onmove as integer;"
16;0;"	                       movenr as integer;"
17;0;"	                       gama as float;"
18;0;"	                       name as string;"
19;0;"	                       board as TArray8x8;"
20;0;"	                       attacked as TArray8x8;"
21;0;"	                       pieces as array[-16 .. 16] of TPiece;"
22;0;"	                     end;"
23;0;"	"
24;0;"	def gp as Position;"
25;0;"	def piece_name as array[1 .. 6] of string;"
26;0;"	def color_name as array[-1 .. 1] of string;"
27;0;"	def piece_weight as array[1 .. 6] of float;"
28;0;"	def pieces_weight as float;"
29;0;"	def pawn_weight as float;"
30;0;"	def attack_weight as float;"
31;0;"	def border as array[-1 .. 1] of integer;"
32;0;"	def movescount as array[2 .. 6] of integer;"
33;0;"	def moverel as array[2 .. 6] of array [1 .. 8] of TPoint2D;"
34;0;"	def fig2bit as array[-16 .. 16] of integer;"
35;0;"	def color2bit as array[-1 .. 1] of integer;"
36;0;"	def Part as integer;"
37;0;"	def FirstPart as string;"
38;0;"	def drawMoves as bool;"
39;0;"	def addRandomWeight as float;"
40;0;"	"
41;0;"	{""constants"" for figure type}"
42;0;"	def pawn as integer;"
43;0;"	def bishop as integer;"
44;0;"	def knight as integer;"
45;0;"	def rook as integer;"
46;0;"	def queen as integer;"
47;0;"	def king as integer;"
48;0;"	"
49;0;"	def proc InitVars;"
50;0;"	"
51;0;"	  def i as integer;"
52;0;"	  def bit2 as array [0 .. 31] of integer;"
53;0;"	"
54;0;"	  {compute values representing single bits from 0 to 31}"
55;1;"	  bit2[0]:=1;"
56;1;"	  for i:=0 to 29 do"
57;30;"	    bit2[i+1]:=bit2[i]+bit2[i];"
58;0;"	  end for;"
59;1;"	  bit2[31]:=(0-bit2[30])-bit2[30];"
60;0;"	"
61;1;"	  for i:=1 to 16 do"
62;16;"	    fig2bit[i]:=bit2[i-1];"
63;16;"	    fig2bit[-i]:=bit2[i+15];"
64;16;"	    color2bit[1]:=color2bit[1] or fig2bit[i];"
65;16;"	    color2bit[-1]:=color2bit[-1] or fig2bit[-i];"
66;0;"	  end for;"
67;0;"	"
68;0;"	  {this sorting is needed for optimization .. for tests if fig is bishop or rook or queen}"
69;1;"	  pawn:=1;"
70;1;"	  knight:=2;"
71;1;"	  king:=3;"
72;1;"	  bishop:=4;"
73;1;"	  rook:=5;"
74;1;"	  queen:=6;"
75;0;"	"
76;1;"	  piece_weight[pawn  ]:=1;"
77;1;"	  piece_weight[bishop]:=2.8;"
78;1;"	  piece_weight[knight]:=3;"
79;1;"	  piece_weight[rook  ]:=5;"
80;1;"	  piece_weight[queen ]:=10;"
81;1;"	  piece_weight[king  ]:=20;"
82;1;"	  pieces_weight:=8;"
83;1;"	  pawn_weight:=1;"
84;1;"	  attack_weight:=1.4;"
85;0;"	"
86;1;"	  addRandomWeight:=0.5;"
87;0;"	"
88;1;"	  piece_name[pawn  ]:=""p"";"
89;1;"	  piece_name[bishop]:=""s"";"
90;1;"	  piece_name[knight]:=""j"";"
91;1;"	  piece_name[rook  ]:=""v"";"
92;1;"	  piece_name[queen ]:=""d"";"
93;1;"	  piece_name[king  ]:=""k"";"
94;0;"	"
95;1;"	  color_name[-1]:=""c"";"
96;1;"	  color_name[ 1]:=""b"";"
97;1;"	  border[ 1]:=1;"
98;1;"	  border[-1]:=8;"
99;0;"	"
100;1;"	  movescount[bishop]:=4; {Bishop moves - 4 directions diagonally}"
101;1;"	  movescount[knight]:=8; {Knight moves - 8 ""L"" moves}"
102;1;"	  movescount[rook  ]:=4; {Rook moves   - 4 directions}"
103;1;"	  movescount[queen ]:=8; {Queen moves  - 8 directions}"
104;1;"	  movescount[king  ]:=8; {King moves   - 8 moves}"
105;0;"		"
106;1;"	  i:=bishop;"
107;2;"	  moverel[i][1].x:= -1; moverel[i][1].y:= -1;"
108;2;"	  moverel[i][2].x:= 1;  moverel[i][2].y:= -1;"
109;2;"	  moverel[i][3].x:= -1; moverel[i][3].y:= 1;"
110;2;"	  moverel[i][4].x:= 1;  moverel[i][4].y:= 1;"
111;0;"	"
112;1;"	  i:=knight;"
113;2;"	  moverel[i][1].x:= -1; moverel[i][1].y:= -2;"
114;2;"	  moverel[i][2].x:=1;   moverel[i][2].y:= -2;"
115;2;"	  moverel[i][3].x:= -2; moverel[i][3].y:= -1;"
116;2;"	  moverel[i][4].x:=2;   moverel[i][4].y:= -1;"
117;2;"	  moverel[i][5].x:= -2; moverel[i][5].y:=1;"
118;2;"	  moverel[i][6].x:=2;   moverel[i][6].y:=1;"
119;2;"	  moverel[i][7].x:= -1; moverel[i][7].y:=2;"
120;2;"	  moverel[i][8].x:=1;   moverel[i][8].y:=2;"
121;0;"	"
122;1;"	  i:=rook;"
123;2;"	  moverel[i][1].x:= 0;  moverel[i][1].y:= -1;"
124;2;"	  moverel[i][2].x:= -1; moverel[i][2].y:= 0;"
125;2;"	  moverel[i][3].x:= 1;  moverel[i][3].y:= 0;"
126;2;"	  moverel[i][4].x:= 0;  moverel[i][4].y:= 1;"
127;0;"	"
128;1;"	  i:=queen;"
129;2;"	  moverel[i][1].x:= -1; moverel[i][1].y:= -1;"
130;2;"	  moverel[i][2].x:=0;   moverel[i][2].y:= -1;"
131;2;"	  moverel[i][3].x:=1;   moverel[i][3].y:= -1;"
132;2;"	  moverel[i][4].x:= -1; moverel[i][4].y:=0;"
133;2;"	  moverel[i][5].x:=1;   moverel[i][5].y:=0;"
134;2;"	  moverel[i][6].x:= -1; moverel[i][6].y:=1;"
135;2;"	  moverel[i][7].x:=0;   moverel[i][7].y:=1;"
136;2;"	  moverel[i][8].x:=1;   moverel[i][8].y:=1;"
137;0;"	"
138;1;"	  i:=king;"
139;2;"	  moverel[i][1].x:= -1; moverel[i][1].y:= -1;"
140;2;"	  moverel[i][2].x:=0;   moverel[i][2].y:= -1;"
141;2;"	  moverel[i][3].x:=1;   moverel[i][3].y:= -1;"
142;2;"	  moverel[i][4].x:= -1; moverel[i][4].y:=0;"
143;2;"	  moverel[i][5].x:=1;   moverel[i][5].y:=0;"
144;2;"	  moverel[i][6].x:= -1; moverel[i][6].y:=1;"
145;2;"	  moverel[i][7].x:=0;   moverel[i][7].y:=1;"
146;2;"	  moverel[i][8].x:=1;   moverel[i][8].y:=1;"
147;0;"	"
148;1;"	end proc;"
149;0;"	"
150;0;"	def proc UpravNapadanePolicko(f as integer;xn as integer;yn as integer;akce as integer);"
151;0;"	  def f2 as integer;"
152;0;"	"
153;76662;"	  if akce=1 "
154;39513;"	    then gp.attacked[yn][xn]:=gp.attacked[yn][xn] or fig2bit[f]"
155;37149;"	            else gp.attacked[yn][xn]:=gp.attacked[yn][xn] and (-1 xor fig2bit[f]);"
156;0;"	"
157;76662;"	  gp.pieces[f].attacked_cells:=gp.pieces[f].attacked_cells+akce;"
158;0;"	"
159;76662;"	  f2:=gp.board[yn][xn];"
160;76662;"	  if sgn(f2)=0-sgn(f) "
161;6833;"	    then gp.pieces[f].attacked_weight:=gp.pieces[f].attacked_weight+akce*piece_weight[gp.pieces[f2].figtype];"
162;76662;"	        end proc;"
163;0;"	"
164;0;"	{oznaci ktore policka su ohrozovane danou figurkou a spocita kolko ich je}"
165;0;"	{tiez spocita ""silu"" ohrozovanych nepriatelskych figur}"
166;0;"	def proc OznacPolickaFigurky(f as integer;akce as integer);"
167;0;"	  def pce as TPiece;"
168;0;"	  def xn as integer;"
169;0;"	  def yn as integer;"
170;0;"	  def i as integer;"
171;11374;"	  pce:=gp.pieces[f];"
172;14818;"	  if (pce.figtype=pawn) then do"
173;0;"	    {tahy pesiakom   (nevie tahy en-pasant !!!)}"
174;3444;"	    yn:=pce.pos.y-sgn(f);"
175;6888;"	    if (yn>=1) and (yn<=8) then do"
176;3444;"	      xn:=pce.pos.x-1;"
177;6590;"	      if (xn>=1) then UpravNapadanePolicko(f,xn,yn,akce);"
